Sample,Analyte,Predicted,Measured
black_beans,Acetate,0.581185812,-0.470940615
black_beans,Propionate,0.618259856,-0.596445578
black_beans,Butyrate,-0.469322367,0.027602976
black_beans,total_SCFAs,0.439308226,-0.483698419
blackcurrants,Acetate,0.416513857,2.406250553
blackcurrants,Propionate,0.69516493,2.35376041
blackcurrants,Butyrate,-0.50249564,1.115504584
blackcurrants,total_SCFAs,0.368595776,2.431572657
chickpeas,Acetate,0.549548958,-1.095075962
chickpeas,Propionate,0.743657586,-0.627631815
chickpeas,Butyrate,-0.505137864,-0.729991437
chickpeas,total_SCFAs,0.47498673,-1.062330632
couscous,Acetate,-1.219344038,0.129578535
couscous,Propionate,-2.12547692,-0.007336455
couscous,Butyrate,-0.922568912,-0.836281981
couscous,total_SCFAs,-2.547091459,0.086412308
infant_formula,Acetate,0.026567924,-0.688907375
infant_formula,Propionate,0.900005657,-0.492941798
infant_formula,Butyrate,-0.040360805,-0.696154413
infant_formula,total_SCFAs,0.534149526,-0.687346413
kumara_with_skin,Acetate,-0.131349673,-0.650560369
kumara_with_skin,Propionate,-0.152276864,-1.192461935
kumara_with_skin,Butyrate,2.265045634,2.809193889
kumara_with_skin,total_SCFAs,1.168153687,-0.621362033
kumara_without_skin,Acetate,0.626478972,-0.961163639
kumara_without_skin,Propionate,0.779948274,-1.3650621
kumara_without_skin,Butyrate,-0.41353308,-0.588081905
kumara_without_skin,total_SCFAs,0.596479475,-1.025172528
pork,Acetate,-3.026920344,-0.60466586
pork,Propionate,-2.086125066,-0.223288659
pork,Butyrate,1.927681605,-0.607031622
pork,total_SCFAs,-1.909923329,-0.578877457
prawn,Acetate,-0.528427798,-0.498138613
prawn,Propionate,-0.638504734,0.013780596
prawn,Butyrate,1.086652383,-0.518041558
prawn,total_SCFAs,-0.055713667,-0.45453542
pumpkin,Acetate,0.23359876,0.049801238
pumpkin,Propionate,0.247457375,-0.385224104
pumpkin,Butyrate,-0.057237723,-0.593428684
pumpkin,total_SCFAs,0.253543707,-0.019943925
raspberries,Acetate,0.188176907,0.912076795
raspberries,Propionate,0.676107312,0.131618678
raspberries,Butyrate,-0.067748852,1.238637372
raspberries,total_SCFAs,0.478719592,0.859814657
soybeans,Acetate,0.690211525,-0.538603417
soybeans,Propionate,0.689239877,-0.082662069
soybeans,Butyrate,-0.520541643,-0.492380074
soybeans,total_SCFAs,0.516351035,-0.500586456
strawberries,Acetate,0.873080439,1.777042805
